CLASS,DETAILS,count
가구류,의자,20099
가구류,밥상,8157
가구류,수납장,7921
가구류,서랍장,6372
가구류,소파,2200
가구류,책상,1859
가구류,협탁,1103
가구류,장롱,729
가구류,화장대,269
가구류,침대,92
가구류,싱크대,35
가구류,기타,22
고철류,고철,25362
고철류,비철금속,7338
고철류,프라이팬,6871
고철류,골프채,6328
고철류,철옷걸이,2643
고철류,기타,1051
고철류,주전자,640
고철류,전기프라이팬,236
나무류,주방용품,36468
나무류,주걱,12547
나무류,장식품,5474
나무류,액자,5122
나무류,도마,4864
나무류,기타,2668
나무류,포장재,1515
나무류,나무행거,480
도기류,그릇류,24175
도기류,화분,11592
도기류,컵,6994
도기류,항아리,2065
도기류,뚝배기,1712
도기류,받침,1239
도기류,장식품,669
도기류,병,257
도기류,주전자,216
도기류,기타,112
비닐류,포장제,29230
비닐류,과자봉지,12204
비닐류,봉투,2440
비닐류,에어캡,1522
비닐류,리필용기,636
비닐류,일회용덮개,486
비닐류,기타,31
스티로폼류,네모트레이,28136
스티로폼류,스티로폼,16876
스티로폼류,보호재,6487
스티로폼류,포장용기,5701
스티로폼류,기타,7
유리병류,박카스병,18668
유리병류,주방용기,7651
유리병류,음료수병,7545
유리병류,기타술병,6520
유리병류,소주병,4095
유리병류,맥주병,2025
유리병류,기타,1103
유리병류,물병,151
의류,상의,26679
의류,하의,14511
의류,외투,5903
의류,원피스,1414
의류,레깅스,865
의류,기타의류,242
의류,면의류,152
의류,합성섬유,70
의류,기타,17
자전거,두발자전거,43142
자전거,네발자전거,4452
자전거,세발자전거,590
전자제품,이동전화단말기,11402
전자제품,기타,5925
전자제품,청소기,3406
전자제품,전기밥솥,3110
전자제품,선풍기,3109
전자제품,컴퓨터,2910
전자제품,프린터,2483
전자제품,TV,1808
전자제품,오디오,1579
전자제품,냉장고,1538
전자제품,전기오븐,1398
전자제품,전기히터,1145
전자제품,믹서,1060
전자제품,전기다리미,1032
전자제품,비디오플레이어,925
전자제품,가습기,635
전자제품,전자레인지,622
전자제품,세탁기,534
전자제품,공기청정기,503
전자제품,전기정수기,368
전자제품,복사기,351
전자제품,에어컨,201
전자제품,팩시밀리,170
전자제품,식기건조기,139
전자제품,음식물처리기,85
전자제품,연수기,65
전자제품,하이패스,25
전자제품,자동판매기,10
종이류,책자,18403
종이류,포장상자,18145
종이류,상자류,4163
종이류,음료수곽,3479
종이류,종이봉투,1318
종이류,기타,544
종이류,신발상자,439
종이류,노트,360
종이류,신문지,150
캔류,음료수캔,25992
캔류,맥주캔,7819
캔류,커피캔,5773
캔류,통조림캔,3625
캔류,스팸류,1795
캔류,참기름캔,255
캔류,기타,5
페트병류,페트병,41936
페트병류,일회용음료수잔,3499
페트병류,기타,57
플라스틱류,밀폐용기,42828
플라스틱류,장남감,7380
플라스틱류,대용량플라스틱통,4873
플라스틱류,욕실용품,4348
플라스틱류,바구니,2384
플라스틱류,기타,2296
형광등,콤팩트형,23925
형광등,직관형,7767
형광등,백열전구,7392
형광등,안정기내장형,6539
형광등,LED전구,3185
형광등,환형,1558
형광등,기타,15
