DETAILS,count
두발자전거,43142
밀폐용기,42828
페트병,41936
주방용품,36468
포장제,29230
네모트레이,28136
상의,26679
음료수캔,25992
고철,25362
그릇류,24175
콤팩트형,23925
의자,20099
박카스병,18668
책자,18403
포장상자,18145
스티로폼,16876
하의,14511
기타,13853
주걱,12547
과자봉지,12204
화분,11592
이동전화단말기,11402
밥상,8157
수납장,7921
맥주캔,7819
직관형,7767
주방용기,7651
음료수병,7545
백열전구,7392
장남감,7380
비철금속,7338
컵,6994
프라이팬,6871
안정기내장형,6539
기타술병,6520
보호재,6487
서랍장,6372
골프채,6328
장식품,6143
외투,5903
커피캔,5773
포장용기,5701
액자,5122
대용량플라스틱통,4873
도마,4864
네발자전거,4452
욕실용품,4348
상자류,4163
소주병,4095
통조림캔,3625
일회용음료수잔,3499
음료수곽,3479
청소기,3406
LED전구,3185
전기밥솥,3110
선풍기,3109
컴퓨터,2910
철옷걸이,2643
프린터,2483
봉투,2440
바구니,2384
소파,2200
항아리,2065
맥주병,2025
책상,1859
TV,1808
스팸류,1795
뚝배기,1712
오디오,1579
환형,1558
냉장고,1538
에어캡,1522
포장재,1515
원피스,1414
전기오븐,1398
종이봉투,1318
받침,1239
전기히터,1145
협탁,1103
믹서,1060
전기다리미,1032
비디오플레이어,925
레깅스,865
주전자,856
장롱,729
리필용기,636
가습기,635
전자레인지,622
세발자전거,590
세탁기,534
공기청정기,503
일회용덮개,486
나무행거,480
신발상자,439
전기정수기,368
노트,360
복사기,351
화장대,269
병,257
참기름캔,255
기타의류,242
전기프라이팬,236
에어컨,201
팩시밀리,170
면의류,152
물병,151
신문지,150
식기건조기,139
침대,92
음식물처리기,85
합성섬유,70
연수기,65
싱크대,35
하이패스,25
자동판매기,10
