source_folder_class,json_class,json_details,count
스티로폼류,고철류,고철,194
전자제품,페트병류,페트병,156
나무류,고철류,고철,131
종이류,도기류,그릇류,115
전자제품,플라스틱류,밀폐용기,109
나무류,종이류,포장상자,107
자전거,페트병류,페트병,101
전자제품,종이류,책자,98
종이류,플라스틱류,밀폐용기,95
전자제품,캔류,음료수캔,87
전자제품,고철류,고철,87
고철류,플라스틱류,밀폐용기,84
플라스틱류,페트병류,페트병,77
가구류,종이류,상자류,70
스티로폼류,종이류,상자류,66
가구류,스티로폼류,스티로폼,66
도기류,형광등,백열전구,65
가구류,자전거,두발자전거,64
가구류,페트병류,페트병,64
고철류,형광등,콤팩트형,60
고철류,페트병류,페트병,60
나무류,플라스틱류,기타,57
전자제품,도기류,컵,53
스티로폼류,플라스틱류,밀폐용기,53
고철류,플라스틱류,기타,53
스티로폼류,캔류,음료수캔,52
전자제품,종이류,포장상자,51
전자제품,플라스틱류,장남감,49
스티로폼류,종이류,포장상자,48
고철류,유리병류,박카스병,46
스티로폼류,전자제품,이동전화단말기,45
고철류,나무류,주방용품,45
종이류,캔류,맥주캔,45
가구류,도기류,화분,36
전자제품,종이류,노트,35
고철류,유리병류,기타술병,35
종이류,캔류,음료수캔,35
종이류,전자제품,이동전화단말기,33
전자제품,캔류,커피캔,32
고철류,캔류,음료수캔,31
스티로폼류,캔류,통조림캔,30
고철류,종이류,음료수곽,30
종이류,페트병류,페트병,30
도기류,플라스틱류,밀폐용기,29
스티로폼류,플라스틱류,기타,25
종이류,고철류,고철,25
종이류,비닐류,포장제,25
가구류,플라스틱류,대용량플라스틱통,24
종이류,유리병류,주방용기,24
나무류,페트병류,페트병,21
가구류,플라스틱류,바구니,21
종이류,유리병류,박카스병,21
전자제품,캔류,맥주캔,20
전자제품,유리병류,음료수병,20
스티로폼류,종이류,음료수곽,20
나무류,종이류,상자류,20
자전거,캔류,커피캔,20
도기류,전자제품,기타,20
종이류,캔류,커피캔,20
종이류,도기류,컵,20
전자제품,종이류,음료수곽,19
스티로폼류,캔류,커피캔,19
나무류,캔류,통조림캔,19
나무류,종이류,노트,19
가구류,플라스틱류,밀폐용기,19
고철류,나무류,액자,19
전자제품,도기류,그릇류,17
도기류,종이류,책자,17
가구류,유리병류,박카스병,16
자전거,플라스틱류,밀폐용기,16
고철류,캔류,맥주캔,15
고철류,유리병류,음료수병,15
도기류,종이류,음료수곽,15
고철류,나무류,주걱,14
가구류,전자제품,TV,13
자전거,가구류,의자,13
종이류,스티로폼류,포장용기,13
가구류,스티로폼류,보호재,12
고철류,도기류,컵,11
고철류,전자제품,전기밥솥,11
플라스틱류,페트병류,일회용음료수잔,11
전자제품,종이류,종이봉투,10
전자제품,종이류,신문지,10
전자제품,나무류,도마,10
스티로폼류,캔류,스팸류,10
스티로폼류,비닐류,과자봉지,10
나무류,유리병류,주방용기,10
나무류,플라스틱류,밀폐용기,10
가구류,플라스틱류,욕실용품,10
고철류,플라스틱류,욕실용품,10
고철류,종이류,포장상자,10
도기류,플라스틱류,바구니,10
종이류,유리병류,음료수병,10
종이류,캔류,통조림캔,10
전자제품,캔류,통조림캔,9
가구류,도기류,컵,9
가구류,전자제품,선풍기,9
가구류,비닐류,봉투,9
페트병류,플라스틱류,밀폐용기,9
도기류,고철류,기타,9
전자제품,종이류,기타,8
플라스틱류,스티로폼류,보호재,8
도기류,종이류,포장상자,8
전자제품,유리병류,주방용기,7
전자제품,종이류,상자류,7
나무류,가구류,수납장,7
가구류,스티로폼류,포장용기,7
가구류,종이류,포장상자,7
가구류,나무류,나무행거,7
플라스틱류,종이류,상자류,7
전자제품,플라스틱류,바구니,6
스티로폼류,페트병류,페트병,6
스티로폼류,종이류,종이봉투,6
나무류,종이류,음료수곽,6
가구류,캔류,통조림캔,6
가구류,도기류,항아리,6
가구류,전자제품,냉장고,6
종이류,스티로폼류,스티로폼,6
나무류,종이류,기타,6
전자제품,유리병류,박카스병,5
전자제품,캔류,스팸류,5
전자제품,비닐류,포장제,5
전자제품,스티로폼류,스티로폼,5
전자제품,가구류,소파,5
전자제품,페트병류,일회용음료수잔,5
전자제품,스티로폼류,네모트레이,5
전자제품,스티로폼류,보호재,5
전자제품,나무류,장식품,5
전자제품,의류,기타의류,5
스티로폼류,유리병류,박카스병,5
스티로폼류,가구류,소파,5
스티로폼류,나무류,주방용품,5
스티로폼류,캔류,맥주캔,5
스티로폼류,종이류,책자,5
스티로폼류,종이류,기타,5
나무류,종이류,신발상자,5
나무류,유리병류,박카스병,5
나무류,의류,기타,5
나무류,비닐류,포장제,5
나무류,유리병류,기타,5
나무류,도기류,컵,5
나무류,전자제품,기타,5
가구류,나무류,장식품,5
가구류,유리병류,소주병,5
가구류,자전거,기타,5
고철류,형광등,백열전구,5
고철류,유리병류,소주병,5
고철류,나무류,장식품,5
고철류,스티로폼류,스티로폼,5
고철류,플라스틱류,장남감,5
고철류,유리병류,주방용기,5
고철류,플라스틱류,바구니,5
고철류,도기류,장식품,5
고철류,캔류,스팸류,5
고철류,캔류,커피캔,5
고철류,스티로폼류,보호재,5
자전거,도기류,화분,5
플라스틱류,형광등,기타,5
플라스틱류,종이류,포장상자,5
플라스틱류,도기류,화분,5
플라스틱류,전자제품,기타,5
페트병류,비닐류,봉투,5
도기류,형광등,LED전구,5
도기류,종이류,기타,5
캔류,종이류,상자류,5
종이류,고철류,철옷걸이,5
종이류,스티로폼류,보호재,5
종이류,나무류,장식품,5
종이류,비닐류,리필용기,5
종이류,나무류,액자,5
전자제품,형광등,백열전구,5
나무류,도기류,그릇류,5
종이류,도기류,받침,5
가구류,종이류,음료수곽,3
가구류,자전거,네발자전거,3
가구류,도기류,병,3
자전거,종이류,상자류,3
자전거,플라스틱류,대용량플라스틱통,3
플라스틱류,전자제품,이동전화단말기,3
플라스틱류,페트병류,밀폐용기,3
페트병류,종이류,상자류,3
페트병류,비닐류,포장제,3
도기류,형광등,화분,3
스티로폼류,의류,기타의류,2
비닐류,스티로폼류,스티로폼,2
가구류,캔류,음료수캔,2
가구류,페트병류,일회용음료수잔,2
가구류,도기류,그릇류,2
가구류,고철류,고철,2
가구류,종이류,신문지,2
가구류,전자제품,공기청정기,2
고철류,종이류,기타,2
플라스틱류,스티로폼류,스티로폼,2
플라스틱류,종이류,종이봉투,2
의류,종이류,상자류,2
의류,종이류,종이봉투,2
도기류,종이류,상자류,2
도기류,형광등,직관형,2
가구류,나무류,액자,2
가구류,전자제품,전자레인지,2
전자제품,가구류,수납장,1
전자제품,고철류,프라이팬,1
전자제품,자전거,두발자전거,1
전자제품,나무류,주걱,1
스티로폼류,종이류,신문지,1
나무류,플라스틱류,대용량플라스틱통,1
나무류,전자제품,오디오,1
나무류,종이류,신문지,1
나무류,스티로폼류,스티로폼,1
비닐류,종이류,상자류,1
가구류,종이류,밥상,1
가구류,캔류,맥주캔,1
가구류,전자제품,전기밥솥,1
가구류,전자제품,컴퓨터,1
고철류,나무류,도마,1
고철류,전자제품,청소기,1
고철류,유리병류,기타,1
유리병류,비닐류,과자봉지,1
유리병류,비닐류,포장제,1
유리병류,캔류,통조림캔,1
유리병류,스티로폼류,포장용기,1
형광등,스티로폼류,스티로폼,1
형광등,플라스틱류,밀폐용기,1
형광등,스티로폼류,기타,1
자전거,스티로폼류,보호재,1
플라스틱류,가구류,소파,1
플라스틱류,캔류,기타,1
페트병류,비닐류,에어캡,1
페트병류,종이류,포장상자,1
페트병류,플라스틱류,대용량플라스틱통,1
페트병류,전자제품,이동전화단말기,1
페트병류,스티로폼류,스티로폼,1
도기류,스티로폼류,스티로폼,1
도기류,고철류,고철,1
캔류,전자제품,기타,1
종이류,비닐류,에어캡,1
종이류,가구류,밥상,1
고철류,전자제품,전기오븐,1
고철류,종이류,상자류,1
페트병류,유리병류,박카스병,1
페트병류,캔류,스팸류,1
캔류,가구류,수납장,1
